Best,Mean,Worst,Diversity
5253292017077893.0,5275963878852390.0,6156122312308775.0,3.5331706786477016e+16
5253292017077893.0,5253380483422402.0,5253797539046529.0,116775574754916.0
5253292017077893.0,5253304655127106.0,5253797539046529.0,19715356776804.0
5253292017077893.0,5253292017077890.0,5253292017077893.0,0.0
5253292017077893.0,5253544778062210.0,5253797539046529.0,50552196863600.0
5253292017077893.0,5253418397570051.0,5253797539046529.0,37914147647700.0
5253292017077893.0,5253317293176324.0,5253797539046529.0,9604917404084.0
5253292017077893.0,5253292017077892.0,5253292017077893.0,0.0
5253292017077893.0,5253393121471621.0,5253797539046529.0,8088351498176.0
5253292017077893.0,5253292017077894.0,5253292017077893.0,0.0
