Best,Mean,Worst,Diversity
553920.2270621223,555213.2621380064,557796.0154654604,1193277.3517299825
553920.2270621223,554517.6908287249,557659.7079204432,623876.373366395
553920.2270621223,554240.4692031543,556648.0502016157,387263.73165438033
553920.2270621223,554063.6348600145,556648.0502016157,206235.41950699303
553920.2270621223,553970.457200244,555221.6337048062,75722.1428539874
553920.2270621223,555478.9210157399,557659.7079204432,330189.1578753814
553920.2270621223,554408.0499826585,557659.7079204432,121466.70653567696
553920.2270621223,554105.6511065683,555221.6337048062,60410.13474838366
553920.2270621223,553950.2977886207,554220.9343271055,10825.46153939562
553920.2270621223,553920.2270621223,553920.2270621223,0.0
553920.2270621223,555121.3299067257,557659.7079204432,69862.3222508016
553920.2270621223,554181.147454969,554220.9343271055,3386.49557951733
553920.2270621223,554040.5099681156,554220.9343271055,7216.9743595970795
553920.2270621223,553940.5816429824,554123.7728707243,1831.9122774180723
553920.2270621223,553920.2270621222,553920.2270621223,0.0
