Best,Mean,Worst,Diversity
11760.45814676125,12166.044415226748,12868.820821389803,296826.8826517392
11760.45814676125,11922.90726202622,12677.80355009947,177256.47847434424
11760.45814676125,11839.013433587907,12577.648775890739,97460.06284689638
11760.383984888462,11794.715684106024,12059.120698341874,45664.50421405698
11760.383984888462,11769.742649036401,12059.120698341874,13738.08797769002
11760.383984888462,11761.266674870994,11767.780592687252,1170.1698401876201
11760.383984888462,11760.834100265643,11766.752498573796,637.1619596986366
11760.383984888462,12097.772872482266,12691.32212344814,78045.58901050745
11760.383984888462,11977.988565489264,12672.968163746824,57200.21529895476
11760.383984888462,11796.988863915201,12045.8987888039,10600.418443197634
11760.383984888462,11786.81226294049,12045.8987888039,8408.087745476192
11760.383984888462,11771.686476700132,11914.982025848232,3375.359977240483
11760.383984888462,12299.398426249603,12906.20024697517,24053.7236452262
11760.383984888462,11975.616771446248,12485.593412398779,13747.343250180365
11760.383984888462,11826.549530748594,12208.41889620613,5147.9127777632
11760.383984888462,11779.408054944637,11904.180210303322,1360.0931081449435
11760.383984888462,11763.972370555926,11777.078859984274,218.06652195415336
