Best,Mean,Worst,Diversity
19138.267948601293,20518.256326305484,21637.26157576408,907982.1726696542
19130.21303369715,19465.763022157065,21575.740832244624,414909.66949145606
19127.577781654873,19291.03644476862,21575.740832244624,217877.79665181134
19127.577781654873,19145.167861961214,19266.559303326794,17891.1444184734
19127.577781654873,19136.10414666227,19223.79336848408,10473.11537627312
19127.577781654873,19130.73418491923,19158.12912696073,4181.671249825929
19127.577781654873,20881.272735120216,21662.539376765533,182362.3074031136
19127.577781654873,20115.678074655814,21478.174697134935,218895.41370492498
19127.577781654873,19451.64408939673,21269.974696178266,103174.57164942063
19127.577781654873,19158.566612029717,19406.04159154399,7924.492577982404
19127.577781654873,19138.086367607604,19164.19431538646,2661.0018333728985
19127.577781654873,20720.944331410872,21711.158383921647,53644.018453391436
19127.577781654873,20136.883074538866,21443.698848764016,52938.45632509215
19127.577781654873,19601.566574918616,21253.72701957346,35361.5302547848
19127.577781654873,19163.565810673783,19268.63176469968,2023.4471704949683
19127.577781654873,19135.837117505835,19158.11791049588,475.5788487523823
