Best,Mean,Worst,Diversity
38015.68304690969,38669.09876964312,42349.33446211617,674683.8815167757
37946.12195974112,38175.57524236417,38802.814825917376,156443.45625462118
37940.153196105624,38042.370477376404,38406.79684590947,77878.75270850252
37940.153196105624,37987.28294271078,38197.225696680915,49207.656759690515
37940.153196105624,37956.98198072434,38108.93109257953,21801.521716887575
37940.153196105624,37949.49137461718,38108.93109257953,13161.944369755314
37940.153196105624,38696.46666314436,42311.933747295356,192450.14348736856
37940.153196105624,38145.22805292799,38735.31651840068,37317.95340943869
37940.153196105624,38046.58364547414,38253.937745730596,16833.145142607536
37940.153196105624,38033.13361642817,38253.937745730596,15144.059612350145
37940.153196105624,38002.18713897811,38138.523417747325,11599.936535282934
37940.153196105624,38242.52587127454,38730.38308335641,13044.798852672182
37940.153196105624,38120.630988724806,38306.62113202945,7516.370448084257
37940.153196105624,38022.506666800015,38255.23508619216,5618.03536212397
37940.153196105624,38022.20887708867,38255.23508619216,5624.873220890826
37940.153196105624,37973.995358847256,38194.17215423544,2861.1276615894167
