Best,Mean,Worst,Diversity
322142.11542969756,323987.5967740512,330008.3270965266,1619756.7656066925
322142.11542969756,322977.09756650566,325952.2969889069,990661.3668595997
322142.11542969756,322534.256357786,325659.8128205877,535350.0581758835
322141.82618372334,322169.8272034919,322615.47577646724,40865.684813899396
322141.82618372334,322145.31374728645,322194.4674618479,4834.118894032319
322141.82618372334,322143.6663480005,322194.4674618479,2668.1583434555796
322141.82618372334,322142.1810349298,322147.8860069824,496.276431892009
322141.82618372334,323980.7797454834,325886.9606541618,351476.1251175202
322141.82618372334,323051.8810706449,325862.2025003338,264212.9472546728
322141.82618372334,322542.275169102,325862.2025003338,139820.09623605176
322141.82618372334,322151.2518152969,322191.47846667084,2949.786274350772
322141.82618372334,322143.7356410329,322169.84065753315,657.2864450197667
322141.82618372334,323545.20802572335,325914.4926130458,81791.73079094873
322141.82618372334,322640.5103212,325632.40277870034,38255.449448051106
322141.82618372334,322251.4126728974,322618.86172934447,7957.661354407843
322141.82618372334,322150.564455469,322169.84065753315,545.5796365409042
322141.82618372334,322145.9110781335,322169.84065753315,330.24274693225743
