Best,Mean,Worst,Diversity
17825710.34435873,18570944.02835764,22025592.488980856,824962495.8814856
17825710.34435873,18215541.321041804,22025592.488980856,525005255.1046301
17825710.34435873,17913444.77644504,19838432.31861972,133652977.15454689
17825710.34435873,17825834.66659964,17826716.350785233,168585.93850382045
17825710.34435873,17825711.264597833,17825728.74914092,1398.763446226716
17825710.34435873,18643164.7722763,20569860.764452744,215620855.97113487
17825710.34435873,18061125.32748682,19453217.954916596,80264406.63476816
17825710.34435873,17979574.829532564,19417991.013649758,55482929.89171082
17825710.34435873,17905379.279340155,19417991.013649758,30271447.08880034
17825710.34435873,17825714.025315173,17825728.74914092,1177.9060599803925
17825710.34435873,18250617.598207645,20551329.688167024,35172579.854617834
17825710.34435873,17989962.204684846,19466571.13828549,14778011.395301275
17825710.34435873,17825777.36512774,17826343.742484402,5921.440517283976
17825710.34435873,17825714.025315173,17825728.74914092,294.4765149950981
17825710.34435873,17825710.344358735,17825710.34435873,0.0
