||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.6 |          172.6 |         1185.0 |          8.583 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            7.0 |          173.0 |         1303.0 |          7.852 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            7.0 |          173.0 |         1003.4 |          5.656 |           80.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            7.0 |          171.0 |         1255.0 |          7.406 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            6.4 |          166.4 |         1205.2 |          6.532 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            2.2 |           60.2 |          717.8 |          4.794 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            3.8 |           95.8 |          921.0 |          7.245 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.4 |           37.4 |          773.0 |          5.047 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.8 |          255.8 |         1480.6 |          9.685 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.4 |          139.4 |         1347.0 |          8.893 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           11.0 |          279.0 |         1902.6 |         11.823 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            3.6 |           87.6 |          931.2 |          6.974 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.0 |          225.0 |         1688.0 |          8.439 |           80.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.4 |          212.4 |         1963.0 |          8.498 |           80.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           11.8 |          295.8 |         2338.4 |         11.082 |           60.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.6 |          285.6 |         2295.4 |          9.855 |           60.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.2 |          281.2 |         2451.6 |         10.435 |           20.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |           10.8 |          274.8 |         2195.8 |         10.553 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            4.2 |          108.2 |          977.0 |           8.41 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            7.6 |          193.6 |         1564.4 |          12.01 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            4.6 |          128.6 |         1203.6 |          8.895 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            6.4 |          184.4 |         1462.2 |         11.124 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            6.8 |          174.8 |         1560.0 |         11.026 |           80.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            2.4 |           58.4 |          799.8 |          6.578 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            2.4 |           58.4 |          672.6 |           4.27 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          435.8 |          2.942 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            9.4 |          225.4 |         1557.0 |          9.924 |           80.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            6.4 |          170.4 |         1280.2 |          8.909 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.8 |           49.8 |          693.4 |          4.359 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            2.4 |           66.4 |          713.0 |          5.047 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           12.2 |          306.2 |         2963.8 |         35.672 |           60.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           12.0 |          304.0 |         2617.6 |         35.778 |           40.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           11.6 |          297.6 |         2732.8 |         35.071 |           40.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |           12.8 |          324.8 |         3838.6 |         43.851 |            0.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |           13.2 |          341.2 |         3191.0 |          41.14 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |           12.2 |          314.2 |         3152.2 |         35.988 |           20.0 ||
||movement-libras |    ml_0_cl_100 |        310.527 |           18.4 |          554.4 |         4048.8 |        195.856 |            0.0 ||
||movement-libras |    ml_0_cl_150 |        313.645 |           20.0 |          572.0 |         4123.0 |        220.411 |           20.0 ||
||movement-libras |    ml_100_cl_0 |        416.451 |           20.6 |          608.6 |         3765.6 |         165.46 |            0.0 ||
||movement-libras |    ml_150_cl_0 |        479.278 |           19.8 |          611.8 |         3569.8 |        164.021 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.664 |           19.2 |          575.2 |         3899.8 |         185.51 |            0.0 ||
||movement-libras |    ml_75_cl_75 |        396.801 |           18.4 |          554.4 |         3710.2 |        190.468 |            0.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          411.8 |          2.192 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          414.8 |          1.933 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            4.8 |          130.8 |          894.4 |          4.973 |           80.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            6.4 |          170.4 |          908.2 |          4.821 |          100.0 ||
