Best,Mean,Worst,Diversity
5308165178846963.0,5313826151807123.0,5316761073082451.0,2105499054426176.0
5308165178846963.0,5311205023589832.0,5315039140792995.0,2706664867427104.0
5308165178846963.0,5309035958740330.0,5315039140792995.0,1160870453109984.0
5308165178846963.0,5308165178846966.0,5308165178846963.0,0.0
5308165178846963.0,5311806667350254.0,5316761073082451.0,717744689786790.0
5308165178846963.0,5309776793067776.0,5315039140792995.0,487297930867528.0
5308165178846963.0,5308508876944263.0,5315039140792995.0,130605276974608.0
5308165178846963.0,5308165178846962.0,5308165178846963.0,0.0
5308165178846963.0,5311151585456983.0,5315039140792995.0,167343305020842.0
5308165178846963.0,5310227367430772.0,5315039140792995.0,144353200866672.0
5308165178846963.0,5308165178846962.0,5308165178846963.0,0.0
