Best,Mean,Worst,Diversity
553920.2270621223,555213.2621380064,557796.0154654604,1193277.3517299825
553920.2270621223,554550.2388937974,557659.7079204432,656944.2549652793
553920.2270621223,554152.1885095795,557659.7079204432,281501.26166165504
553920.2270621223,554038.3823104205,555221.6337048062,157987.52051600337
553920.2270621223,553930.4043525523,554123.7728707243,15469.48145375261
553920.2270621223,554733.8267626415,557659.7079204432,202321.4024265114
553920.2270621223,554393.0146194093,557659.7079204432,123784.42609500105
553920.2270621223,554272.6609070977,557659.7079204432,111827.12255852087
553920.2270621223,553995.8650231601,554220.9343271055,22053.08219801006
553920.2270621223,553935.2624253716,554220.9343271055,5713.438034681021
553920.2270621223,555536.302311444,557659.7079204432,87341.88247983437
553920.2270621223,554373.4337350616,556648.0502016157,28158.895435238723
553920.2270621223,554070.5806946139,554220.9343271055,7517.681624580291
553920.2270621223,553950.2977886206,554220.9343271055,2706.365384848905
553920.2270621223,553920.2270621222,553920.2270621223,0.0
