Best,Mean,Worst,Diversity
3517841.906467,3537081.679678665,3586460.3300370867,13251667.215292497
3517841.906467,3526858.6565867267,3529815.2519228263,3045740.4129719487
3517841.906467,3523183.857065582,3529815.2519228263,4234664.907725188
3517841.906467,3520448.455949827,3529815.2519228263,2996646.8065776485
3517841.906467,3519179.591613854,3529815.2519228263,1781127.2340536918
3517841.906467,3531333.994553104,3586460.3300370867,1542149.9395361426
3517841.906467,3529813.9598860205,3586460.3300370867,1881876.553286822
3517841.906467,3524687.779341026,3529815.2519228263,1014198.7820425811
3517841.906467,3522342.504438425,3529815.2519228263,1025089.7620310821
3517841.906467,3518848.690155279,3524953.725576869,323097.8444038122
3517841.906467,3528385.563917541,3529815.2519228263,124024.85128164571
3517841.906467,3527688.503538432,3529815.2519228263,144936.6626549149
3517841.906467,3523308.6083839536,3529815.2519228263,212722.31074091978
3517841.906467,3520411.470417396,3524953.725576869,153686.04647119157
3517841.906467,3518536.953788192,3523820.5514324913,58666.9459215668
