Best,Mean,Worst,Diversity
11619.59088482562,11962.565984002476,12647.835714732852,70912.10072576454
11619.59088482562,11812.430225591928,12520.810259407303,47836.241874507934
11617.559478118736,11659.0616582544,11906.83668496419,11647.784304965415
11617.559478118736,11623.782012476793,11633.401079352048,952.6062269581762
11617.559478118736,11621.180990096884,11632.002726695675,579.0262991098098
11615.8004058286,11619.949872178668,11622.037822474345,405.47904725231274
11615.733474724875,11618.193429032382,11621.507727088503,426.4923028305275
11615.733474724875,11616.984114510418,11620.850746237404,269.003669813892
11615.733474724875,11616.328773025347,11617.629425218878,147.4160587252136
11615.733474724875,11615.868715914778,11616.26357011072,36.73693520080997
11615.733474724875,11615.759907186253,11616.128261745089,9.642748703274265
11615.733474724875,11615.733474724871,11615.733474724875,0.0
