Best,Mean,Worst,Diversity
325930.3621695296,326364.5145532941,326865.68325269275,65752.84560667258
325930.3621695296,326186.08382211335,326818.9104610068,58185.58436834486
325924.23784497567,326078.4968727449,326491.6494467976,42795.50018214807
325924.23784497567,326019.86157389183,326491.6494467976,29317.84604235919
325924.23784497567,325936.33798065793,325944.37062524294,1487.520100990485
325921.67808225943,325932.1849336312,325944.37062524294,1691.8916748760967
325921.67808225943,325927.30568857177,325940.42333042127,1300.3282327211928
325921.67808225943,325924.0088363202,325930.3621695296,672.101393294346
325921.67808225943,325922.5601746219,325927.4411973735,297.09138798335334
325921.67808225943,325921.69218233565,325921.7485826409,4.512024413794279
325921.67808225943,325921.67808225943,325921.67808225943,0.0
