||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.2 |           46.2 |          325.4 |          2.461 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            3.0 |           63.0 |          417.0 |          2.644 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.6 |           54.6 |          310.2 |          1.792 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            1.8 |           37.8 |          317.8 |           1.96 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.8 |           37.8 |          299.8 |          1.679 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.2 |           25.2 |          228.4 |          1.595 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            2.0 |           42.0 |          306.2 |           2.52 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.8 |           16.8 |          241.4 |          1.656 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.6 |           96.6 |          477.6 |          3.245 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.2 |           46.2 |          428.8 |          3.006 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.8 |          100.8 |          598.0 |          3.924 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           37.8 |          303.8 |          2.387 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.6 |           75.6 |          518.6 |          3.047 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.2 |           67.2 |          616.6 |          3.069 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.6 |          138.6 |          855.0 |          4.517 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            7.0 |          147.0 |          861.6 |          4.496 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.0 |          105.0 |          773.6 |          3.781 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.2 |           88.2 |          643.6 |          3.547 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.6 |           33.6 |          292.4 |          2.704 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           54.6 |          451.2 |          3.802 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.2 |           46.2 |          387.0 |          3.073 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            3.2 |           67.2 |          493.8 |          4.113 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.2 |           67.2 |          485.4 |          3.753 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.2 |           25.2 |          255.6 |          2.287 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            7.6 |          159.6 |         1062.8 |          8.006 |          100.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            5.8 |          121.8 |          792.8 |          7.123 |          100.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |           10.0 |          210.0 |         1316.2 |          9.375 |          100.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            8.2 |          172.2 |         1125.0 |          8.487 |          100.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            8.4 |          176.4 |         1139.2 |          8.363 |          100.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |            6.8 |          142.8 |          889.8 |          7.268 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            1.0 |           21.0 |          206.0 |          1.549 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          127.2 |          0.922 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.2 |           88.2 |          539.4 |          3.986 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            3.0 |           63.0 |          432.8 |          3.436 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.6 |           12.6 |          196.4 |          1.374 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            0.8 |           16.8 |          200.0 |          1.585 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            7.0 |          147.0 |         1118.4 |          15.63 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            7.8 |          163.8 |         1002.2 |         15.854 |          100.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            7.6 |          159.6 |         1070.6 |         15.674 |          100.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            8.8 |          184.8 |         1543.0 |         20.053 |          100.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |           10.0 |          210.0 |         1329.4 |         18.525 |          100.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |            8.4 |          176.4 |         1247.8 |         17.073 |          100.0 ||
||movement-libras |    ml_0_cl_100 |        310.968 |           16.2 |          340.2 |         1879.2 |         99.983 |          100.0 ||
||movement-libras |    ml_0_cl_150 |        313.697 |           20.2 |          424.2 |         2108.6 |        122.946 |          100.0 ||
||movement-libras |    ml_100_cl_0 |        416.523 |           20.4 |          428.4 |         2001.2 |         95.107 |          100.0 ||
