||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |            2.1 |           44.1 |        316.433 |          2.022 |          100.0 ||
||           wine |    3421827.432 |            2.7 |           56.7 |        392.633 |           2.79 |          100.0 ||
||  connectionist |        314.774 |          4.933 |          103.6 |          711.5 |          3.743 |          100.0 ||
||          seeds |        624.257 |          2.333 |           49.0 |        394.233 |          3.289 |          100.0 ||
||          heart |       3347.196 |            7.8 |          163.8 |         1054.3 |          8.104 |          100.0 ||
||      vertebral |      559533.96 |            1.6 |           33.6 |        283.633 |          2.142 |          100.0 ||
||      computers |     320716.535 |          8.267 |          173.6 |       1218.567 |         17.135 |          100.0 ||
||movement-libras |          381.5 |         19.333 |          406.0 |       1988.133 |        104.701 |          100.0 ||
||       toxicity |4925753246225918.0 |            1.2 |           25.2 |        208.067 |          1.185 |          100.0 ||
||        ECG5000 |      12734.814 |           11.6 |          243.6 |         1534.4 |         44.583 |          100.0 ||
||          ecoli |          15.63 |         13.333 |          280.0 |       1604.367 |         44.844 |          100.0 ||
||          glass |         90.724 |           11.9 |          249.9 |       1273.667 |         17.896 |          100.0 ||
||         accent |      29545.619 |         11.733 |          246.4 |         1570.7 |         33.574 |          100.0 ||
||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
