Best,Mean,Worst,Diversity
14100.887706557185,14454.65095016191,15306.12424269036,68222.15837158525
14100.887706557185,14263.472002413826,14488.960528229574,25605.86466289535
14100.887706557185,14207.753130014898,14353.926935033815,17505.757582429123
14098.404350244662,14161.631735221716,14277.497424072928,12676.974210392653
14098.404350244662,14149.494892775803,14246.39791366127,10252.441463316296
14098.404350244662,14149.370724960176,14246.39791366127,10289.691808004141
14098.404350244662,14117.23854849274,14190.16202544508,5008.3439087939405
14098.404350244662,14109.149871735446,14165.025334529248,3065.264875177305
14096.19595974105,14100.916085331668,14113.930305957912,930.0107441842047
14096.19595974105,14099.224553815924,14106.846684085378,640.3789119451558
14096.19595974105,14097.491494383052,14101.991465268253,354.7005236822479
14096.19595974105,14096.334950000954,14098.975764939112,52.81629876318948
14096.19595974105,14096.19595974105,14096.19595974105,0.0
