Best,Mean,Worst,Diversity
12757.678329545237,13126.955810001911,13575.560052948425,62332.41125813959
12757.678329545237,12942.932887086685,13362.614202087572,33964.259269719885
12755.213084255307,12859.521734107146,13231.0621805823,25358.99984511136
12751.253272235725,12765.256542789244,12790.693414058547,2470.446243427039
12751.253272235725,12757.529821712369,12765.904425227574,1176.271829541436
12751.253272235725,12754.538020532747,12765.904425227574,685.2252012313747
12750.965979724599,12753.629228165813,12760.228904321693,585.833729675458
12750.936727505223,12752.48959586278,12756.0694807607,319.10216852294616
12750.936727505223,12751.630667399515,12754.280284593733,147.0142310190895
12750.649434994102,12751.322698007263,12752.361773215503,95.5591896470014
12750.649434994102,12751.220512878286,12752.361773215503,103.85143998255262
12750.649434994102,12751.117576244857,12752.242796825656,82.32611969728714
12750.25975794482,12750.760593741623,12751.093983460598,40.64515939745252
12750.25975794482,12750.580744982892,12750.936727505223,39.56830909655764
12750.25975794482,12750.424452249263,12750.649434994102,37.7336367388325
12750.04406880221,12750.21006710639,12750.649434994102,37.68042450510984
12750.04406880221,12750.09799108786,12750.25975794482,16.176685695700144
12750.04406880221,12750.065637716469,12750.25975794482,7.764809133936069
12750.04406880221,12750.044068802208,12750.04406880221,0.0
