Best,Mean,Worst,Diversity
35264.45743010024,35669.256651568016,36276.95856460661,67087.46171498872
35264.45743010024,35553.08357032347,36027.26693491508,46510.08620235612
35256.351725668545,35431.10061373339,35785.14359898356,30188.932040777087
35256.351725668545,35382.40403230326,35785.14359898356,24695.130784428955
35256.351725668545,35353.3047250569,35785.14359898356,19305.165318536878
35256.351725668545,35329.217255765136,35681.66257791801,15628.173329958765
35245.31131018288,35301.927776607015,35554.56033397025,11870.768579090138
35245.31131018288,35274.43334820444,35332.90970974882,4153.528482560621
35241.06365841463,35260.28607485402,35288.089204053205,2964.256653070981
35241.06365841463,35254.71569070067,35271.17773234269,2103.1058137448344
35240.74623722547,35248.52303294689,35266.03059611071,1412.0811214433415
35238.795843646796,35244.673011196006,35255.49658367301,951.0103512213536
35238.795843646796,35242.77964620983,35247.544622760775,504.74342899191106
35238.795843646796,35241.85658946137,35247.544622760775,424.71889049543097
35238.795843646796,35241.00898835513,35243.09051842448,342.9170897956574
35238.795843646796,35240.61965695175,35243.09051842448,343.8954731862177
35238.795843646796,35239.30752920601,35241.69956083904,155.1155047839129
35238.795843646796,35238.82444478408,35239.02693143164,9.674768012140703
35238.795843646796,35238.79928972667,35238.82901148971,1.2328310224911547
35238.795843646796,35238.79750203893,35238.82901148971,0.6301890153627028
35238.795843646796,35238.79584364679,35238.795843646796,0.0
