Best,Mean,Worst,Diversity
324211.87620186625,324475.583211087,324984.26739757386,56060.1938281699
324211.87620186625,324312.51148055354,324591.8127849013,23345.126465946552
324203.25053759874,324284.8605108466,324564.9081265224,20526.41972864687
324203.25053759874,324244.03807877237,324500.28158583964,10853.244731349347
324203.25053759874,324227.7382887581,324500.28158583964,7571.607159387611
324203.25053759874,324206.12440626277,324211.87620186625,513.126591596345
324203.25053759874,324205.1908930916,324208.03828665364,448.2168125510216
324203.25053759874,324203.78365110507,324208.03828665364,187.4252043312881
324203.25053759874,324203.575147201,324208.03828665364,119.94276294653537
324203.25053759874,324203.2505375986,324203.25053759874,0.0
