Best,Mean,Worst,Diversity
17802165.934372354,19019872.41537223,21779089.905831855,265794903.8418898
17801949.109766018,18346608.689493276,19591729.089533933,145818329.775994
17801949.109766018,18100482.202791173,19457412.796227317,96745659.58664021
17801949.109766018,17802179.450717688,17802596.403073758,29245.399147007614
17801949.109766018,17802092.79069665,17802265.791580893,25274.128750517964
17801949.109766018,17802065.215264097,17802265.791580893,24389.847941029817
17801949.109766018,17802037.63983154,17802183.936602246,21463.242484420538
17801949.109766018,17801992.474687282,17802165.934372354,13876.774805545807
17801949.109766018,17801970.79222665,17802165.934372354,7805.685828119516
17801949.109766018,17801949.109766014,17801949.109766018,0.0
