||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.0 |           42.0 |          325.0 |          2.621 |          100.0 ||
||           iris |     ml_0_cl_50 |           84.0 |            2.0 |           42.0 |          329.2 |            2.1 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.4 |           50.4 |          291.4 |          1.765 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.2 |           46.2 |          342.0 |           2.14 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.8 |           37.8 |          307.6 |          1.713 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           21.0 |          215.4 |          1.516 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.8 |           37.8 |          291.6 |          2.437 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.6 |           12.6 |          231.2 |          1.581 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.6 |           96.6 |          495.4 |          3.377 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.8 |           37.8 |          394.4 |          2.797 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            3.8 |           79.8 |          524.4 |          3.466 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            2.4 |           50.4 |          337.6 |           2.78 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.6 |           75.6 |          515.0 |          2.993 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.8 |           79.8 |          636.2 |          3.171 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            7.0 |          147.0 |          888.6 |          4.626 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            6.4 |          134.4 |          840.0 |          4.258 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.6 |          117.6 |          794.8 |          3.882 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.4 |           92.4 |          686.6 |          3.742 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.6 |           33.6 |          289.6 |          2.731 |          100.0 ||
