Best,Mean,Worst,Diversity
4313023.028315447,4464694.17410168,4752561.473252497,37382907.906854436
4302063.477644103,4346169.888304821,4751176.964369314,12225685.442144044
4302063.477644103,4318347.490102181,4367003.604271837,3548201.818450419
4302063.477644103,4309236.1464124285,4314002.244954465,1015924.2272336967
4302063.477644103,4308091.230513343,4313023.028315447,1084995.5164631177
4302063.477644103,4306447.2979126405,4313023.028315447,1052116.8644490838
4302063.477644103,4304803.365311937,4313023.028315447,821966.3003508467
4302063.477644103,4303707.410244803,4313023.028315447,558937.0842385758
4302063.477644103,4303159.432711236,4313023.028315447,394543.8241684064
4302063.477644103,4302063.477644102,4302063.477644103,0.0
