Best,Mean,Worst,Diversity
14333.324221363835,14583.4953637291,14913.241902880245,42999.52074043334
14307.7653504057,14482.911733187493,14855.768694245078,30264.98727675154
14307.7653504057,14406.598270135679,14592.077868478644,14843.997288488436
14302.525997282473,14363.422967152781,14465.74277407633,10671.594210962152
14300.833711700514,14331.72465944426,14458.686163744678,8439.440237625715
14297.5571125344,14300.786380055351,14304.439979635405,540.1242070293792
14297.5571125344,14298.3903212614,14302.525997282473,241.01924091770343
14297.5571125344,14297.717184205796,14299.464393209653,54.35647136599255
14297.5571125344,14297.573289443815,14297.880650722545,6.147225574772165
14297.5571125344,14297.557112534405,14297.5571125344,0.0
