Best,Mean,Worst,Diversity
19120.77805697571,20438.319169990074,21835.88467952773,243237.99728711863
19117.721801219755,19620.123271664383,21556.451654666234,155068.3005844463
19117.721801219755,19245.82917933906,21467.49150893458,47338.29626190207
19117.721801219755,19126.534093153008,19239.368090640794,2858.8538795272652
19117.63886356532,19119.485413372633,19125.466717948635,444.88373142149794
19117.63886356532,19118.314868521113,19120.77805697571,188.92089244293675
19117.63886356532,19117.931632097458,19120.2369173492,95.60800002988617
19117.63886356532,19117.725716022695,19118.824772115637,30.90640075214833
19117.63886356532,19117.710599641006,19118.824772115637,26.264456905599218
19117.63886356532,19117.65130421349,19117.721801219755,4.229820376196585
