||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.0 |           42.0 |          305.2 |          2.321 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.4 |           50.4 |          358.2 |          2.165 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.0 |           42.0 |          267.8 |          1.595 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.4 |           50.4 |          343.2 |          2.115 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.4 |           50.4 |          337.2 |          1.846 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           21.0 |          213.0 |          1.469 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            2.0 |           42.0 |          306.2 |          2.423 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.8 |           16.8 |          241.8 |          1.616 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.0 |           84.0 |          454.2 |          3.096 |           80.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.0 |           42.0 |          382.4 |          2.613 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.8 |          100.8 |          613.6 |          3.988 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           37.8 |          301.4 |          2.309 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            4.0 |           84.0 |          540.8 |           2.72 |           80.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.0 |           63.0 |          564.0 |          2.401 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.2 |          130.2 |          806.8 |          3.792 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            5.0 |          105.0 |          735.6 |          3.176 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.0 |          105.0 |          754.4 |            3.2 |           60.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.2 |           88.2 |          648.2 |          3.138 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           29.4 |          270.4 |          2.346 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            3.0 |           63.0 |          469.2 |          3.813 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            1.8 |           37.8 |          352.0 |           2.63 |          100.0 ||
