Best,Mean,Worst,Diversity
26901.65835332941,27773.395233066403,28469.682060334475,113129.29660700276
26901.65835332941,27503.542289535813,28227.146643368524,110630.85948352846
26891.497235436873,27121.124179910752,27749.12154145708,61258.00356329237
26891.497235436873,26927.078403049585,27091.19643596206,8994.147724129707
26890.87210694502,26906.045779017564,27040.104924331972,3925.2183696361135
26856.204403984397,26894.88736248385,26913.60655479538,1977.566530451346
26836.295958899595,26868.417631004548,26903.691056387688,5760.621645998217
26836.295958899595,26856.444904640823,26895.906922066577,4902.359341696789
26836.295958899595,26843.795497339266,26893.087820138346,2182.303801201462
26835.90262117413,26839.592051897012,26893.087820138346,1239.1454148084522
26835.90262117413,26838.985240258673,26893.087820138346,1150.1332389056042
26835.90262117413,26838.79473590874,26893.087820138346,1097.6894076994213
26835.90262117413,26835.93547596053,26836.559716902324,12.484818835699116
26835.90262117413,26835.902621174122,26835.90262117413,0.0
