||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            1.8 |           36.0 |          286.6 |          2.229 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.4 |           48.0 |          337.6 |          2.197 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.4 |           48.0 |          270.8 |          1.671 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.6 |           52.0 |          353.6 |          2.258 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            3.0 |           60.0 |          352.2 |           2.06 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           20.0 |          211.0 |          1.484 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.8 |           36.0 |          280.8 |           2.37 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |            8.0 |          213.2 |           1.42 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.8 |           76.0 |          412.0 |          2.954 |           80.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.2 |           44.0 |          408.2 |          2.872 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            5.0 |          100.0 |          582.8 |          4.017 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.4 |           28.0 |          268.2 |          2.106 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.6 |           72.0 |          474.4 |          2.697 |           80.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.4 |           68.0 |          580.0 |          2.781 |           80.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            5.8 |          116.0 |          764.0 |          4.046 |           60.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            4.8 |           96.0 |          652.6 |          3.249 |           80.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            4.8 |           96.0 |          686.2 |          3.357 |           80.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            5.2 |          104.0 |          695.2 |           3.89 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.8 |           36.0 |          280.8 |          2.605 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           52.0 |          411.0 |          3.422 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.4 |           48.0 |          389.2 |           3.12 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.4 |           48.0 |          408.6 |          3.375 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.0 |           60.0 |          445.8 |          3.462 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.2 |           24.0 |          245.2 |          2.207 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            0.8 |           16.0 |          184.6 |          1.326 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          127.2 |          0.913 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            3.8 |           76.0 |          475.8 |          3.609 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            2.0 |           40.0 |          339.0 |          2.675 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.0 |           20.0 |          212.2 |          1.524 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.2 |           24.0 |          216.8 |          1.771 |          100.0 ||
||           gene |    ml_0_cl_200 |    17802378.98 |            5.2 |          104.0 |          761.8 |        251.707 |           80.0 ||
||           gene |    ml_0_cl_400 |   17807053.853 |            5.0 |          100.0 |          711.4 |        242.012 |          100.0 ||
||           gene |  ml_100_cl_100 |   17812884.436 |            5.0 |          100.0 |          664.4 |        223.869 |           80.0 ||
||           gene |    ml_200_cl_0 |   17807622.887 |            5.4 |          108.0 |          608.8 |        213.012 |           80.0 ||
||           gene |  ml_200_cl_200 |   17809579.596 |            3.8 |           76.0 |          526.0 |        182.618 |          100.0 ||
||           gene |    ml_400_cl_0 |   17811344.271 |            5.0 |          100.0 |          521.0 |        193.036 |          100.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          119.2 |          0.645 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          120.6 |          0.565 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            1.4 |           28.0 |          222.8 |          1.305 |          100.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            2.6 |           52.0 |          261.2 |           1.51 |          100.0 ||
||       toxicity |     ml_50_cl_0 |3624350034858881.5 |            0.8 |           16.0 |          214.0 |          1.088 |          100.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            1.6 |           32.0 |          207.0 |          1.277 |          100.0 ||
||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||          heart |    ml_0_cl_100 |       3339.144 |            6.0 |          120.0 |          939.8 |          6.463 |            0.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            6.0 |          120.0 |          763.8 |          6.072 |           80.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |            6.8 |          136.0 |         1060.2 |          7.041 |           20.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            6.4 |          128.0 |          913.4 |           6.62 |           80.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            6.0 |          120.0 |          925.4 |          6.318 |           40.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |            5.0 |          100.0 |          703.4 |          5.393 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            5.6 |          112.0 |          942.8 |         12.267 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            6.0 |          120.0 |          821.6 |         12.117 |           80.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            6.0 |          120.0 |          893.2 |          12.56 |           60.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            6.6 |          132.0 |         1230.2 |         15.155 |           40.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |            7.4 |          148.0 |         1097.0 |         15.129 |           40.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |            5.4 |          108.0 |          947.8 |         12.414 |           80.0 ||
||movement-libras |    ml_0_cl_100 |        310.998 |           11.6 |          232.0 |         1364.4 |         73.174 |           80.0 ||
||movement-libras |    ml_0_cl_150 |        313.937 |           12.4 |          248.0 |         1365.0 |         80.301 |           60.0 ||
||movement-libras |    ml_100_cl_0 |        417.167 |           11.6 |          232.0 |         1212.6 |         58.774 |           20.0 ||
||movement-libras |    ml_150_cl_0 |        479.771 |           13.4 |          268.0 |         1287.2 |         65.811 |          100.0 ||
||movement-libras |    ml_50_cl_50 |        371.726 |           13.6 |          272.0 |         1444.2 |         77.101 |           40.0 ||
||movement-libras |    ml_75_cl_75 |        396.749 |           13.2 |          264.0 |         1364.0 |         77.835 |           60.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.772 |            9.2 |          184.0 |         1467.0 |         43.038 |           60.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |            8.0 |          160.0 |         1232.8 |         41.018 |           60.0 ||
||        ECG5000 |  ml_125_cl_125 |      12999.633 |            9.0 |          180.0 |         1275.2 |         40.721 |           20.0 ||
||        ECG5000 |    ml_150_cl_0 |      13234.796 |            7.8 |          156.0 |         1104.8 |         29.365 |           80.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.048 |            8.0 |          160.0 |         1011.8 |         28.953 |           60.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.315 |            8.4 |          168.0 |         1280.2 |         36.741 |           60.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |            9.0 |          180.0 |         1356.8 |         39.149 |           40.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |            7.6 |          152.0 |         1199.4 |           38.4 |           60.0 ||
||          ecoli |    ml_100_cl_0 |         16.748 |            8.6 |          172.0 |         1059.2 |         27.634 |           60.0 ||
||          ecoli |    ml_150_cl_0 |         17.253 |           10.0 |          200.0 |         1051.0 |         29.381 |           40.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |            8.8 |          176.0 |         1200.2 |          33.25 |           40.0 ||
||          ecoli |    ml_75_cl_75 |          16.32 |            8.8 |          176.0 |         1200.6 |         36.131 |           40.0 ||
||          glass |    ml_0_cl_100 |         77.574 |            6.4 |          128.0 |          791.2 |         13.155 |           40.0 ||
||          glass |     ml_0_cl_50 |         76.116 |            7.2 |          144.0 |          849.8 |         12.281 |           60.0 ||
||          glass |    ml_100_cl_0 |        110.528 |            9.2 |          184.0 |          881.6 |         12.422 |           40.0 ||
||          glass |    ml_25_cl_25 |         84.041 |            8.4 |          168.0 |          986.8 |         13.638 |           40.0 ||
||          glass |     ml_50_cl_0 |         96.988 |            7.4 |          148.0 |          888.6 |         11.642 |           60.0 ||
||          glass |    ml_50_cl_50 |         99.391 |            7.8 |          156.0 |          910.2 |         14.052 |           40.0 ||
||         accent |    ml_0_cl_100 |      18884.919 |            6.8 |          136.0 |         1135.2 |         24.039 |           80.0 ||
||         accent |    ml_0_cl_150 |      19123.392 |            7.4 |          148.0 |         1107.8 |          26.97 |           40.0 ||
||         accent |    ml_100_cl_0 |       36350.72 |            8.6 |          172.0 |         1264.4 |         24.357 |           60.0 ||
||         accent |    ml_150_cl_0 |      41666.204 |            8.6 |          172.0 |         1170.0 |         24.427 |           60.0 ||
||         accent |    ml_50_cl_50 |      28931.244 |            8.8 |          176.0 |         1260.4 |         26.606 |           60.0 ||
||         accent |    ml_75_cl_75 |      32316.649 |            9.0 |          180.0 |         1231.6 |         28.857 |           80.0 ||
