||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |            2.2 |           44.0 |        301.967 |          1.983 |          100.0 ||
||           wine |    3421827.432 |          2.433 |         48.667 |        360.867 |          2.623 |         93.333 ||
||  connectionist |        314.774 |            4.6 |           92.0 |        642.067 |          3.337 |           80.0 ||
||          seeds |        624.257 |          2.233 |         44.667 |        363.433 |          3.032 |           90.0 ||
||      vertebral |      559533.96 |          1.467 |         29.333 |        259.267 |           1.97 |          100.0 ||
||           gene |   17808477.337 |            4.9 |           98.0 |        632.233 |        217.709 |           90.0 ||
||       toxicity |4925753246225918.0 |          1.067 |         21.333 |          190.8 |          1.065 |          100.0 ||
||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||          heart |       3347.196 |          6.033 |        120.667 |        884.333 |          6.318 |         53.333 ||
||      computers |     320716.535 |          6.167 |        123.333 |        988.767 |         13.274 |         66.667 ||
||movement-libras |        381.725 |         12.633 |        252.667 |       1339.567 |         72.166 |           60.0 ||
||        ECG5000 |      12734.833 |            8.4 |          168.0 |       1228.633 |         36.639 |         56.667 ||
||          ecoli |         15.628 |            8.8 |          176.0 |       1177.867 |         33.991 |         46.667 ||
||          glass |         90.773 |          7.733 |        154.667 |          884.7 |         12.865 |         46.667 ||
||         accent |      29545.522 |            8.2 |          164.0 |         1194.9 |         25.876 |         63.333 ||
