Best,Mean,Worst,Diversity
13424.21817259224,13647.720589838387,14228.285011179823,50817.627584252536
13303.500245036412,13502.677638416173,13849.699758737645,34081.78766013086
13303.500245036412,13398.134182663838,13690.544187181256,23110.482613471082
13302.841714127326,13348.883291993468,13499.381915186388,12409.780306589028
13302.730318196522,13308.810093821487,13320.387976379014,1209.2826760764801
13302.730318196522,13305.406116601836,13313.228115844493,586.4159473333657
13302.730318196522,13303.661581174014,13306.84883328351,268.545719624728
13302.730318196522,13302.961304068673,13305.689729573827,82.68177043394826
13302.730318196522,13302.882231169915,13305.689729573827,57.569233707819876
13302.730318196522,13302.878288765389,13305.689729573827,56.22881616880477
