||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.0 |           42.0 |          305.0 |          2.273 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.6 |           54.6 |          376.8 |          2.463 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.6 |           54.6 |          305.0 |          1.769 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.4 |           50.4 |          373.0 |          2.388 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.2 |           46.2 |          335.2 |            1.9 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           21.0 |          219.8 |           1.51 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.6 |           33.6 |          285.0 |          2.363 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.6 |           12.6 |          230.0 |          1.652 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.0 |           84.0 |          460.8 |          3.087 |           80.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.8 |           37.8 |          379.8 |           2.82 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.6 |           96.6 |          600.8 |          3.967 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.6 |           33.6 |          290.0 |          2.244 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.6 |           75.6 |          533.6 |          2.891 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.0 |           63.0 |          578.6 |          2.688 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            5.6 |          117.6 |          759.2 |          3.771 |           80.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            5.2 |          109.2 |          768.0 |          3.653 |           80.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.4 |          113.4 |          821.0 |          3.799 |           80.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.8 |          100.8 |          701.0 |          3.663 |           40.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.6 |           33.6 |          288.4 |          2.593 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           54.6 |          454.6 |          3.893 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.4 |           50.4 |          407.8 |          3.082 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.2 |           46.2 |          423.2 |          3.322 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            2.6 |           54.6 |          473.6 |          3.486 |           80.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.0 |           21.0 |          239.8 |          2.057 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            6.0 |          126.0 |          945.4 |          6.795 |           60.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            5.4 |          113.4 |          786.2 |          6.413 |           80.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |            7.2 |          151.2 |         1121.4 |          7.653 |           40.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            6.4 |          134.4 |         1019.0 |          7.488 |           40.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            6.4 |          134.4 |          999.4 |          7.079 |           40.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |            6.0 |          126.0 |          840.6 |          6.663 |           60.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            0.8 |           16.8 |          192.2 |          1.359 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          127.2 |          0.902 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.0 |           84.0 |          528.2 |          3.856 |           80.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            2.2 |           46.2 |          366.8 |          2.792 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.6 |           12.6 |          199.0 |          1.362 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.0 |           21.0 |          217.8 |           1.72 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            5.6 |          117.6 |          997.2 |         13.354 |           80.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            6.2 |          130.2 |          915.4 |         14.054 |           60.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            6.4 |          134.4 |          994.2 |         14.313 |           40.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            7.2 |          151.2 |         1429.0 |         18.345 |           60.0 ||
||      computers |    ml_250_cl_0 |      323038.54 |            7.2 |          151.2 |         1125.2 |          15.66 |           40.0 ||
