Best,Mean,Worst,Diversity
11850.325360874873,12212.96367407671,12888.072142773326,71190.50381279353
11850.325360874873,12055.012081807383,12425.96068711444,43243.3359614242
11847.36350744341,11885.643612478088,12045.719979028378,11762.64710419329
11846.688368922287,11850.496262964642,11863.29585517582,709.7819755672917
11846.688368922287,11848.468612367045,11851.804021093296,298.4222952380496
11846.688368922287,11847.894187000495,11851.804021093296,262.43173882615156
11846.688368922287,12152.11897532257,12700.26326669637,58699.80286249303
11846.688368922287,11985.571005300426,12394.26070645333,33445.72308539969
11846.688368922287,11911.335497111053,12387.499816116675,19824.938936511906
11846.688368922287,11851.882223616027,11861.838647845263,943.5033721520467
11846.688368922287,11849.047818793862,11854.37219784033,398.79510116493475
11846.688368922287,12095.551329043774,12638.765519793647,54625.25392323236
11846.688368922287,11957.982125663897,12414.181145428833,29208.501088926037
11846.688368922287,11870.075650416791,12044.37192675756,6948.755686746348
11846.688368922287,11850.346577923121,11861.312058638692,576.5297540899646
11846.688368922287,11848.980637749917,11854.449524037589,430.3578049206408
