Best,Mean,Worst,Diversity
33040.28289361922,33266.20142454228,33999.99239565222,49554.937995041204
33039.82123764445,33168.17533549984,33762.62971344441,29558.352325344007
33039.82123764445,33112.140685559265,33260.78540464431,15494.507382221345
33039.82123764445,33068.40431994321,33209.60493049114,8907.807470204018
33039.092020738695,33062.846012576505,33209.60493049114,7660.874328429003
33039.092020738695,33060.352755000255,33209.60493049114,7096.9525328725285
33039.092020738695,33060.04396558595,33209.60493049114,7109.393921205505
33039.092020738695,33055.68013224477,33209.60493049114,5884.516469915041
33039.092020738695,33251.98159819514,33845.29947452144,43683.030566892165
33039.092020738695,33133.763733515785,33424.96310829837,21817.483003801797
33039.092020738695,33071.06826183881,33185.60735438332,8597.177227164895
33039.092020738695,33057.886098777315,33176.52590522125,5375.660688735479
33039.092020738695,33046.862886897325,33176.52590522125,2815.4287866160303
33039.092020738695,33294.476851695494,33907.37885528542,58261.72551016639
33039.092020738695,33120.202120854396,33510.90582585518,17216.438897387452
33039.092020738695,33089.23635463269,33205.09956009495,9530.464948272886
33039.092020738695,33064.21206834136,33205.09956009495,6286.545361515004
33039.092020738695,33054.84672634765,33205.09956009495,5421.288670226568
