Best,Mean,Worst,Diversity
316874.5396886236,317292.25100285374,318425.5922569579,106752.616008933
316874.3452301848,317288.59579161217,318425.5922569579,106895.94373119931
316870.9304629665,316927.8518914165,317139.84015707276,15986.631431752816
316870.24213503,316900.7354122454,317123.35649986885,9641.3777532354
316870.24213503,316888.85259278753,317123.35649986885,5665.293867420987
316870.24213503,316876.254434383,316902.02490809024,1270.641307288548
316870.24213503,317274.081060573,318423.0209887762,73818.99783892854
316870.24213503,317044.2863854772,317178.88156567025,23568.260081810993
316870.24213503,316931.8440289694,317178.88156567025,17396.63578592695
316870.24213503,316908.91145905264,317123.35649986885,11931.68226272898
316870.24213503,316876.8880334875,316898.3994388105,1601.1305026195478
316870.24213503,317298.3850046465,318425.5922569579,99231.40052504488
316870.24213503,317158.7736936676,318420.69331220485,71088.61665202124
316870.24213503,317005.0647495642,318420.69331220485,44135.13854161877
316870.24213503,316910.5608843504,317134.3556669801,12455.646837252367
316870.24213503,316887.866155294,317082.1660601629,5049.386251320131
