Best,Mean,Worst,Diversity
17802165.934372354,18317195.120934717,20545050.867781952,151943080.86420026
17801949.109766018,18108788.86277573,19614816.69195625,99788547.40258919
17801949.109766018,17939558.524830278,19369025.030434154,49645496.19152893
17801949.109766018,17802209.965045404,17803056.554484483,57838.80241526663
17801949.109766018,17802057.832644057,17803056.554484483,36379.05827893317
17801949.109766018,18309361.786242317,19579001.498766627,137716353.38318148
17801949.109766018,18034190.259024773,19579001.498766627,79844577.30147266
17801949.109766018,17896620.45758664,19579001.498766627,35692961.1806066
17801949.109766018,17802082.43680999,17803056.554484483,46209.132290549576
17801949.109766018,17802004.482001938,17803056.554484483,21041.44965083897
17801949.109766018,18313138.288750898,19419493.92350667,121927814.93697356
17801949.109766018,18147146.122916557,19419493.92350667,102682697.12875867
17801949.109766018,17818862.152051598,17912744.02818926,5688647.660790227
17801949.109766018,17807749.236406825,17912744.02818926,2168648.052241333
17801949.109766018,17802070.270469766,17803056.554484483,40771.62897792831
