||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.4 |          128.0 |          957.0 |          7.649 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            6.0 |          120.0 |         1000.0 |          6.716 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            7.0 |          140.0 |          801.6 |           5.24 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            6.8 |          136.0 |         1016.2 |          6.671 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            7.4 |          148.0 |         1021.4 |           5.96 |           80.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.0 |           60.0 |          640.8 |          4.651 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.4 |           88.0 |          790.8 |          6.972 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.2 |           24.0 |          637.0 |          4.363 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.6 |          192.0 |         1129.4 |          8.127 |           80.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.8 |          116.0 |         1147.4 |          8.906 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           11.4 |          228.0 |         1535.8 |         11.972 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            3.8 |           76.0 |          765.8 |          6.906 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.4 |          188.0 |         1373.0 |          7.971 |           40.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.6 |          172.0 |         1597.4 |          7.949 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.0 |          240.0 |         1879.6 |          9.974 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.2 |          224.0 |         1808.6 |          9.034 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.2 |          224.0 |         1961.4 |          9.414 |           20.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |           10.6 |          212.0 |         1775.4 |           9.99 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            4.4 |           88.0 |          803.2 |           8.02 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            6.8 |          136.0 |         1212.6 |         10.681 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            5.2 |          104.0 |         1003.6 |          8.212 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            6.8 |          136.0 |         1179.2 |         10.146 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            6.6 |          132.0 |         1231.2 |         10.646 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            2.4 |           48.0 |          680.6 |          6.431 |           80.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |           12.0 |          240.0 |         2288.4 |         16.848 |            0.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |           12.4 |          248.0 |         1929.0 |         16.391 |           20.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |           13.4 |          268.0 |         2585.4 |          18.25 |            0.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |           12.6 |          252.0 |         2386.0 |         18.953 |            0.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |           12.2 |          244.0 |         2324.8 |         17.157 |           20.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |           12.2 |          244.0 |         1941.8 |         15.865 |            0.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            2.4 |           48.0 |          552.8 |          3.972 |           80.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          374.8 |           2.73 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            8.8 |          176.0 |         1292.2 |          9.406 |           60.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            6.8 |          136.0 |         1040.2 |          8.227 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            2.2 |           44.0 |          583.2 |          4.198 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            3.2 |           64.0 |          613.6 |          5.174 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           12.6 |          252.0 |         2537.4 |         35.002 |           20.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           12.8 |          256.0 |         2199.2 |         35.533 |            0.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           12.4 |          248.0 |         2330.0 |         35.123 |           20.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |           12.8 |          256.0 |         3120.0 |         39.868 |            0.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |           13.6 |          272.0 |         2634.0 |         40.836 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |           12.4 |          248.0 |         2529.6 |         35.847 |           20.0 ||
