Best,Mean,Worst,Diversity
5192160914247541.0,5196339847900106.0,5197384581313247.0,334314692205184.0
5192160914247541.0,5194511564427109.0,5197384581313247.0,517143039504894.0
5192160914247541.0,5193205647660682.0,5197384581313247.0,334314692205184.0
5192160914247541.0,5192683280954111.0,5197384581313247.0,188052014365416.0
5192160914247541.0,5192160914247540.0,5192160914247541.0,0.0
5192160914247541.0,5195295114486965.0,5197384581313247.0,501472038307776.0
5192160914247541.0,5194250381073823.0,5197384581313247.0,501472038307776.0
5192160914247541.0,5192422097600826.0,5197384581313247.0,99249674248414.0
5192160914247541.0,5192160914247540.0,5192160914247541.0,0.0
5192160914247541.0,5195817481193535.0,5197384581313247.0,438788033519304.0
5192160914247541.0,5194511564427109.0,5197384581313247.0,517143039504894.0
5192160914247541.0,5193466831013967.0,5197384581313247.0,391775029927950.0
5192160914247541.0,5192683280954111.0,5197384581313247.0,188052014365416.0
5192160914247541.0,5192160914247540.0,5192160914247541.0,0.0
