Best,Mean,Worst,Diversity
4049481.8484393596,4204042.772759619,4655923.474289393,30255915.129753005
4049481.8484393596,4125584.8203840507,4201952.29598321,13118068.843677547
4049481.8484393596,4079020.5260436265,4168473.6938621975,8865788.956308987
4049481.8484393596,4061276.3911059224,4167427.2751049856,4246035.359962536
4049481.8484393596,4055379.1197726415,4167427.2751049856,2240963.106646894
4049481.8484393596,4114693.3686841307,4201952.29598321,14823606.233601457
4049481.8484393596,4110297.7384471497,4201952.29598321,14049040.818780808
4049481.8484393596,4061381.032981644,4168473.6938621975,4283706.435222164
4049481.8484393596,4049481.8484393596,4049481.8484393596,0.0
4049481.8484393596,4139655.44888859,4313706.700621992,16755079.726465834
4049481.8484393596,4081017.162373004,4201952.29598321,9603336.794758793
4049481.8484393596,4074965.5690330714,4201952.29598321,8261733.336955905
4049481.8484393596,4067394.36759374,4170794.9594384893,6096991.881156102
4049481.8484393596,4049481.8484393596,4049481.8484393596,0.0
