Best,Mean,Worst,Diversity
18803.79078332371,20070.55153319387,21390.592150082564,243424.84737433144
18803.79078332371,19611.138684337995,21173.60144860739,208002.58789011624
18803.79078332371,19169.220762079407,21089.181803561572,118735.10687805375
18803.79078332371,18812.735298617627,18921.872841491902,2696.97858838323
18803.79078332371,18805.805036283222,18808.874794239506,423.3812912133508
18803.79078332371,18804.745747826877,18808.244318214718,283.09011448302044
18803.79078332371,18804.11286780106,18807.806844804818,107.24940508696818
18803.79078332371,18803.82976605164,18803.86874877957,7.796545585733838
18803.79078332371,18803.806376414876,18803.86874877957,4.989789174869657
18803.79078332371,18803.790783323704,18803.79078332371,0.0
