Best,Mean,Worst,Diversity
30725.275892122387,31762.27143059395,32675.861969188576,117533.10131990629
30711.109494612883,31248.01770966085,32156.869013348685,102294.18146369196
30711.109494612883,31068.81744384791,31860.773934557496,74769.16317103569
30711.109494612883,30918.275174230883,31723.447811206926,44551.828870720245
30711.109494612883,30828.138181847928,30998.18990347528,23693.613205674872
30704.345057350933,30785.210269165946,30965.62912844778,18928.842276387393
30702.970687849946,30733.47794284748,30931.81467442451,8985.9931336044
30702.970687849946,30710.35461743694,30732.26562842941,1502.6502396703254
30702.970687849946,30704.14188506917,30711.109494612883,353.46951338967483
30702.970687849946,30703.164603088022,30704.333069860728,53.72718888345116
30702.970687849946,30703.02911474676,30703.352245773087,19.411994491965743
30702.970687849946,30702.9808234022,30703.173398894905,3.85150985423752
30702.970687849946,30702.970687849953,30702.970687849946,0.0
