||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.4 |           68.0 |          277.2 |          2.199 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            3.2 |           84.0 |          339.6 |          2.266 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.2 |           64.0 |          211.4 |          1.329 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.4 |           68.0 |          289.2 |          1.845 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.2 |           64.0 |          262.6 |          1.513 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           40.0 |          169.4 |          1.208 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.6 |           52.0 |          231.0 |          1.971 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |           28.0 |          171.6 |          1.165 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.6 |          112.0 |          413.6 |           2.95 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.2 |           64.0 |          342.4 |          2.413 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485316.744 |            4.0 |          100.0 |          459.4 |          3.096 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           56.0 |          245.0 |          1.972 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.6 |           92.0 |          422.0 |           2.38 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.6 |           92.0 |          545.0 |          2.589 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            7.4 |          168.0 |          792.6 |          4.146 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            6.0 |          140.0 |          682.4 |           3.36 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.6 |          132.0 |          728.2 |          3.431 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.0 |          100.0 |          524.2 |          2.778 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.8 |           56.0 |          245.2 |          2.292 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           72.0 |          381.2 |          3.171 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.8 |           76.0 |          365.4 |          2.881 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.4 |           68.0 |          374.4 |          3.027 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.4 |           88.0 |          426.0 |          3.244 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.2 |           44.0 |          209.4 |          1.867 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            7.4 |          168.0 |          932.0 |          6.541 |          100.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            6.2 |          144.0 |          710.6 |          5.755 |          100.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |           10.8 |          236.0 |         1239.6 |          8.454 |          100.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            7.6 |          172.0 |          958.4 |          7.057 |          100.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            7.4 |          168.0 |          987.6 |          6.798 |          100.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |            7.2 |          164.0 |          805.8 |          6.311 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            1.2 |           44.0 |          166.2 |          1.191 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |           20.0 |           87.2 |          0.591 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.0 |          100.0 |          433.4 |          3.095 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            3.4 |           88.0 |          372.4 |          2.855 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.6 |           32.0 |          149.4 |          0.997 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.0 |           40.0 |          167.8 |          1.281 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            7.2 |          164.0 |         1024.8 |         13.792 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            7.2 |          164.0 |          861.4 |         12.583 |          100.0 ||
