Best,Mean,Worst,Diversity
30813.666504145156,31271.439091141066,31749.31508137047,79296.34803295245
30709.44514504994,31007.242291665392,31608.40019296916,46273.61617892295
30685.818554229285,30859.139472955798,31281.201670013863,26558.20645447806
30673.465802406405,30789.256824156735,30979.412348183618,20797.395053014407
30652.52609551834,30736.375023633016,30944.49372153863,13786.923866564666
30652.52609551834,30710.65347306655,30944.49372153863,10378.531009558934
30652.52609551834,30685.807836643693,30713.949409704524,4477.159928984482
30652.52609551834,30676.383425229647,30706.46019676749,4282.145711717247
30652.52609551834,30660.77361223849,30681.654578774494,1757.9143830924513
30652.191404701436,30655.546756514377,30664.690649208052,863.6921983708271
30652.191404701436,30653.45360126968,30659.731149362546,311.5926436067821
30652.191404701436,30652.545478020627,30653.42193431464,85.68059097595687
30652.191404701436,30652.2670478996,30653.03488703091,26.73627040093561
30652.191404701436,30652.191404701436,30652.191404701436,0.0
