Best,Mean,Worst,Diversity
325930.3621695296,326364.5145532941,326865.68325269275,65752.84560667258
325930.3621695296,326241.7412213066,326818.9104610068,59937.905273559445
325930.3621695296,326113.00083052414,326491.6494467976,46005.59340572369
325925.21429693315,326001.47132102924,326491.6494467976,21156.942501065612
325921.67808225943,325971.5606086863,326491.6494467976,14787.79963092081
325921.67808225943,325930.729618038,325944.37062524294,1588.820361864462
325921.67808225943,325928.3925832933,325937.00648905896,1347.0136704323813
325921.67808225943,325925.56737450423,325937.00648905896,975.4659889030736
325921.67808225943,325922.63674056163,325930.3621695296,323.02827558352146
325921.67808225943,325921.6886573166,325921.7485826409,3.595519454742316
325921.67808225943,325921.6816072785,325921.7485826409,1.3395072478451766
325921.67808225943,325921.67808225943,325921.67808225943,0.0
