Best,Mean,Worst,Diversity
17807929.13392683,18983406.70863582,22149058.64018322,290218734.6359804
17807694.307090618,18488147.1419271,20065834.258254763,186224772.02227217
17807694.307090618,18121182.58486927,19587676.50420123,102014405.10739736
17807694.307090618,17807952.503812257,17808242.714678973,33491.51610280946
17807694.307090618,17807929.029339157,17808242.714678973,28821.01553761214
17807694.307090618,17807853.59663839,17808057.01688601,28492.39883735776
17807694.307090618,17807791.040400166,17807957.159677465,23552.303299292922
17807694.307090618,17807753.013799675,17807929.13392683,17612.012716010213
17807694.307090618,17807729.53111605,17807929.13392683,11976.168646886945
17807694.307090618,17807694.307090618,17807694.307090618,0.0
