||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            1.8 |           56.0 |          270.0 |          1.944 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.8 |           76.0 |          354.2 |          2.151 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.0 |           60.0 |          230.2 |          1.294 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.2 |           64.0 |          306.2 |          1.787 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.6 |           52.0 |          261.4 |           1.39 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.2 |           44.0 |          191.2 |          1.274 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.6 |           52.0 |          245.2 |          1.933 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.6 |           32.0 |          188.0 |           1.24 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.6 |           92.0 |          381.6 |          2.467 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.0 |           60.0 |          340.0 |          2.237 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.6 |          112.0 |          555.4 |          3.434 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           56.0 |          260.2 |          1.936 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.0 |           80.0 |          434.4 |          2.195 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            4.0 |          100.0 |          595.2 |          2.588 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.8 |          156.0 |          806.0 |          3.777 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            6.4 |          148.0 |          795.4 |          3.538 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            6.2 |          144.0 |          825.6 |          3.527 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.6 |          112.0 |          645.2 |          3.132 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            2.0 |           60.0 |          267.2 |          2.314 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            3.2 |           84.0 |          474.0 |          3.677 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.4 |           68.0 |          367.8 |          2.699 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            3.2 |           84.0 |          460.6 |          3.496 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.0 |           80.0 |          455.0 |          3.199 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.0 |           40.0 |          205.4 |          1.698 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            1.0 |           40.0 |          168.2 |          1.106 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |           20.0 |           87.2 |          0.592 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.6 |          112.0 |          499.6 |          3.199 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            2.4 |           68.0 |          336.4 |          2.339 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.8 |           36.0 |          175.8 |          1.121 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            0.8 |           36.0 |          161.8 |           1.15 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            6.8 |          156.0 |          977.6 |         12.487 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            8.2 |          184.0 |         1002.2 |         13.778 |          100.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            8.2 |          184.0 |         1085.6 |         13.769 |          100.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            8.4 |          188.0 |         1413.0 |         15.971 |          100.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |            8.6 |          192.0 |         1208.4 |         15.062 |          100.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |            7.0 |          160.0 |         1056.0 |         12.393 |          100.0 ||
||movement-libras |    ml_0_cl_100 |        311.041 |           14.6 |          312.0 |         1683.4 |         81.186 |          100.0 ||
||movement-libras |    ml_0_cl_150 |        314.051 |           19.0 |          400.0 |         1995.4 |        107.337 |          100.0 ||
||movement-libras |    ml_100_cl_0 |        416.791 |           18.0 |          380.0 |         1743.8 |          76.69 |          100.0 ||
||movement-libras |    ml_150_cl_0 |        480.606 |           19.2 |          404.0 |         1740.0 |         78.192 |          100.0 ||
||movement-libras |    ml_50_cl_50 |        371.902 |           21.2 |          444.0 |         2203.8 |        104.944 |          100.0 ||
||movement-libras |    ml_75_cl_75 |         396.82 |           21.0 |          440.0 |         2010.8 |        102.866 |          100.0 ||
||           drug |    ml_0_cl_150 |8.489509551748155e+27 |            0.0 |           20.0 |           80.0 |          0.745 |          100.0 ||
||           drug |    ml_0_cl_250 |8.562517504071864e+27 |            0.0 |           20.0 |           73.0 |          0.765 |          100.0 ||
||           drug |  ml_125_cl_125 |8.501823982975736e+27 |            0.0 |           20.0 |           79.8 |          0.843 |          100.0 ||
||           drug |    ml_150_cl_0 |2.394328674873782e+27 |            0.0 |           20.0 |          114.4 |          1.058 |          100.0 ||
||           drug |    ml_250_cl_0 |2.7402985379841865e+27 |            0.0 |           20.0 |          102.6 |          1.081 |          100.0 ||
||           drug |    ml_75_cl_75 |8.389181967401496e+27 |            0.0 |           20.0 |           85.6 |          0.795 |          100.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |           20.0 |           79.2 |          0.433 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |           20.0 |           80.6 |          0.385 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            1.8 |           56.0 |          222.2 |          1.238 |          100.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            2.8 |           76.0 |          254.8 |          1.337 |          100.0 ||
||       toxicity |     ml_50_cl_0 |3624350034858881.5 |            0.8 |           36.0 |          180.8 |          0.879 |          100.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            2.0 |           60.0 |          203.6 |          1.176 |          100.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.789 |           13.6 |          292.0 |         1824.8 |         48.183 |          100.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |           12.2 |          264.0 |         1734.6 |         51.719 |          100.0 ||
||        ECG5000 |  ml_125_cl_125 |      12999.633 |           11.6 |          252.0 |         1405.8 |         39.697 |          100.0 ||
||        ECG5000 |    ml_150_cl_0 |        13237.8 |            9.4 |          208.0 |         1332.6 |         31.808 |          100.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.704 |           11.0 |          240.0 |         1321.4 |         33.054 |          100.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.315 |           11.6 |          252.0 |         1611.4 |         41.718 |          100.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |           12.2 |          264.0 |         1637.2 |         42.301 |          100.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |           12.0 |          260.0 |         1697.4 |         48.982 |          100.0 ||
||          ecoli |    ml_100_cl_0 |         16.752 |           14.4 |          308.0 |         1594.4 |         36.816 |          100.0 ||
||          ecoli |    ml_150_cl_0 |         17.255 |           11.6 |          252.0 |         1239.4 |         30.202 |          100.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |           12.8 |          276.0 |         1572.4 |         39.275 |          100.0 ||
||          ecoli |    ml_75_cl_75 |         16.315 |           13.4 |          288.0 |         1523.6 |         41.457 |          100.0 ||
||          glass |    ml_0_cl_100 |         77.574 |            9.4 |          208.0 |         1050.0 |         15.627 |          100.0 ||
||          glass |     ml_0_cl_50 |         76.116 |           10.6 |          232.0 |         1117.0 |         14.366 |          100.0 ||
||          glass |    ml_100_cl_0 |        110.528 |           12.8 |          276.0 |         1184.0 |         14.494 |          100.0 ||
||          glass |    ml_25_cl_25 |         84.109 |           10.6 |          232.0 |         1172.2 |         14.608 |          100.0 ||
||          glass |     ml_50_cl_0 |         96.735 |           16.2 |          344.0 |         1553.0 |         18.016 |          100.0 ||
||          glass |    ml_50_cl_50 |         99.439 |           14.6 |          312.0 |         1415.4 |         19.436 |          100.0 ||
