||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          1.933 |         58.667 |        268.867 |           1.64 |          100.0 ||
||           wine |    3421827.432 |          2.367 |         67.333 |          328.4 |          2.208 |          100.0 ||
||  connectionist |        314.774 |          5.167 |        123.333 |        683.633 |          3.126 |          100.0 ||
||          seeds |        624.257 |          2.467 |         69.333 |        371.667 |          2.847 |          100.0 ||
||      vertebral |      559533.96 |            1.6 |           52.0 |        238.167 |          1.585 |          100.0 ||
||      computers |     320716.535 |          7.867 |        177.333 |         1123.8 |          13.91 |          100.0 ||
||movement-libras |        381.869 |         18.833 |        396.667 |         1896.2 |         91.869 |          100.0 ||
||           drug |6.512943369842537e+27 |            0.0 |           20.0 |         89.233 |          0.881 |          100.0 ||
||       toxicity |4925753246225918.0 |          1.233 |         44.667 |          170.2 |          0.908 |          100.0 ||
||        ECG5000 |      12735.445 |         11.567 |        251.333 |       1538.433 |          41.03 |          100.0 ||
||          ecoli |         15.628 |         12.733 |        274.667 |       1544.067 |         39.839 |          100.0 ||
||          glass |          90.75 |         12.367 |        267.333 |         1248.6 |         16.091 |          100.0 ||
