Best,Mean,Worst,Diversity
43002.948737394065,43675.3019674059,45860.20164373962,182335.7592038529
42922.32614348537,43135.51800608464,43540.443616186356,32178.3938493495
42922.32614348537,43068.794812307824,43304.62905077575,19269.650883812967
42922.32614348537,43032.901501925626,43213.716494960354,14652.98142898835
42922.32614348537,43001.645285524,43213.716494960354,13200.17465402068
42917.24674972473,42966.421471916496,43011.39502773853,8184.23313476795
42917.24674972473,42936.42812555949,43002.948737394065,5338.027796624621
42917.24674972473,42926.37672941386,42986.799539569256,3022.1821147951705
42917.24674972473,42918.2189527038,42926.53202178478,338.9607694815204
42917.24674972473,42917.24674972473,42917.24674972473,0.0
