Best,Mean,Worst,Diversity
18803.79078332371,20070.55153319387,21390.592150082564,243424.84737433144
18803.79078332371,19530.650110992716,20946.500849943943,189611.56544557953
18803.79078332371,18924.316257729373,20099.509099438717,35690.55841805561
18803.79078332371,18843.112423385413,18936.644357667035,10242.054609635565
18803.79078332371,18837.332610734236,18936.644357667035,9270.055435445287
18803.79078332371,18823.865872399198,18922.89855202604,6201.318414528916
18803.79078332371,18805.396740813943,18808.874794239506,394.25990184537295
18803.79078332371,18804.541233614724,18808.43551288217,222.32674560399028
18803.79078332371,18803.81417296046,18803.86874877957,6.549098292016424
18803.79078332371,18803.79857986929,18803.86874877957,2.806756410864182
18803.79078332371,18803.794681596493,18803.86874877957,1.4813436612894293
18803.79078332371,18803.790783323704,18803.79078332371,0.0
