Best,Mean,Worst,Diversity
29030.49902687082,29912.451403038467,31023.981862077046,112777.25074451041
29030.49902687082,29675.584228768363,30322.67169133918,89994.99746030523
29030.49902687082,29405.310145167965,30322.67169133918,77239.49480671597
29030.49902687082,29191.386246171372,29628.927205623488,38258.42650635286
29027.696156983293,29065.936805345606,29335.744877803332,10879.108729152085
29027.696156983293,29043.244261323816,29111.19442719681,4189.19555647788
29027.696156983293,29033.007666759426,29091.419752089823,1553.9724120177743
29027.291845318352,29029.352732132957,29036.295040481084,352.4019273545273
29027.291845318352,29028.336960050547,29031.85405233257,200.52482877893272
29027.291845318352,29027.788490347215,29028.408246527986,93.77770160927321
29027.291845318352,29027.60564127178,29028.408246527986,64.44914344328572
29027.291845318352,29027.433354401077,29027.696156983293,36.792361509622424
29027.291845318352,29027.413138817832,29027.696156983293,33.962179855036084
29027.291845318352,29027.35249206809,29027.696156983293,20.619894911986194
29027.291845318352,29027.312060901593,29027.696156983293,7.681921633877209
29027.291845318352,29027.291845318345,29027.291845318352,0.0
