||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            1.8 |           56.0 |          297.0 |          2.171 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.2 |           64.0 |          345.4 |          2.067 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.2 |           64.0 |          288.6 |          1.623 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.4 |           68.0 |          350.4 |          2.085 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.8 |           56.0 |          311.2 |          1.674 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           40.0 |          217.0 |          1.456 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.2 |           44.0 |          265.6 |          2.083 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |           28.0 |          211.6 |          1.388 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.2 |           84.0 |          394.0 |          2.522 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.8 |           56.0 |          361.6 |          2.393 |           80.0 ||
||           wine |     ml_50_cl_0 |    3485316.744 |            2.8 |           76.0 |          479.4 |           2.93 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.4 |           48.0 |          274.4 |          2.056 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.2 |           84.0 |          482.6 |          2.409 |           40.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.2 |           84.0 |          559.0 |          2.417 |           80.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            4.4 |          108.0 |          694.0 |           3.25 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            3.6 |           92.0 |          600.8 |          2.567 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            3.8 |           96.0 |          676.8 |          2.867 |           20.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            3.6 |           92.0 |          641.2 |          3.093 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           48.0 |          277.2 |          2.365 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           72.0 |          461.8 |          3.531 |           80.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.0 |           60.0 |          376.0 |          2.749 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.6 |           72.0 |          450.8 |           3.39 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            2.2 |           64.0 |          443.0 |            3.1 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            0.8 |           36.0 |          234.2 |          1.934 |           80.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            0.8 |           36.0 |          195.2 |          1.233 |           80.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |           20.0 |          127.2 |          0.861 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            3.4 |           88.0 |          469.2 |          2.959 |           60.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            2.4 |           68.0 |          375.6 |          2.574 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.8 |           36.0 |          209.4 |          1.308 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            0.8 |           36.0 |          200.2 |          1.393 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            4.6 |          112.0 |          877.8 |         10.571 |            0.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            4.8 |          116.0 |          795.6 |         10.653 |           20.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            5.6 |          132.0 |          912.0 |         11.471 |           20.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            5.6 |          132.0 |         1245.6 |         14.084 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.188 |            6.4 |          148.0 |         1102.0 |         13.362 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |            4.6 |          112.0 |          926.2 |         11.047 |           20.0 ||
||movement-libras |    ml_0_cl_100 |         311.01 |           10.4 |          228.0 |         1456.8 |           69.8 |            0.0 ||
||movement-libras |    ml_0_cl_150 |        314.152 |           12.8 |          276.0 |         1595.4 |         84.609 |            0.0 ||
||movement-libras |    ml_100_cl_0 |        416.919 |           11.8 |          256.0 |         1498.2 |         64.728 |            0.0 ||
||movement-libras |    ml_150_cl_0 |        480.106 |           13.4 |          288.0 |         1521.4 |         68.142 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.888 |           19.2 |          404.0 |         2089.8 |         99.655 |            0.0 ||
||movement-libras |    ml_75_cl_75 |        397.361 |           15.8 |          336.0 |         1775.8 |         89.901 |            0.0 ||
||           drug |    ml_0_cl_150 |8.489509551748155e+27 |            0.0 |           20.0 |          120.0 |          1.098 |          100.0 ||
||           drug |    ml_0_cl_250 |8.562517504071864e+27 |            0.0 |           20.0 |          113.0 |          1.172 |          100.0 ||
||           drug |  ml_125_cl_125 |8.501823982975736e+27 |            0.0 |           20.0 |          119.8 |          1.268 |          100.0 ||
||           drug |    ml_150_cl_0 |2.394328674873782e+27 |            0.0 |           20.0 |          154.4 |          1.431 |          100.0 ||
||           drug |    ml_250_cl_0 |2.7402985379841865e+27 |            0.0 |           20.0 |          142.6 |          1.493 |          100.0 ||
||           drug |    ml_75_cl_75 |8.389181967401496e+27 |            0.0 |           20.0 |          125.6 |          1.159 |          100.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |           20.0 |          119.2 |          0.642 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |           20.0 |          120.6 |          0.567 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            1.6 |           52.0 |          250.0 |          1.361 |          100.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            2.8 |           76.0 |          292.6 |          1.553 |           80.0 ||
||       toxicity |     ml_50_cl_0 |3624350034858881.5 |            0.8 |           36.0 |          220.8 |          1.075 |           80.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            1.6 |           52.0 |          225.2 |          1.274 |           80.0 ||
||        ECG5000 |    ml_0_cl_150 |      11668.585 |            6.8 |          156.0 |         1341.2 |          34.76 |            0.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |            9.0 |          200.0 |         1466.4 |         43.398 |            0.0 ||
||        ECG5000 |  ml_125_cl_125 |      13000.177 |            7.6 |          172.0 |         1214.0 |         34.318 |            0.0 ||
||        ECG5000 |    ml_150_cl_0 |      13237.931 |            6.0 |          140.0 |         1198.0 |         28.206 |            0.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.073 |            7.4 |          168.0 |         1093.2 |         27.395 |            0.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.418 |            7.2 |          164.0 |         1292.0 |         33.358 |            0.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |            7.0 |          160.0 |         1276.8 |         32.556 |            0.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |            6.2 |          144.0 |         1266.6 |          36.26 |            0.0 ||
||          ecoli |    ml_100_cl_0 |         16.754 |            7.6 |          172.0 |         1149.8 |         26.293 |            0.0 ||
||          ecoli |    ml_150_cl_0 |         17.256 |            6.6 |          152.0 |          948.4 |         23.011 |            0.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |            7.6 |          172.0 |         1230.4 |         30.483 |            0.0 ||
||          ecoli |    ml_75_cl_75 |         16.318 |            9.6 |          212.0 |         1336.4 |         36.199 |            0.0 ||
||          glass |    ml_0_cl_100 |         77.574 |            6.4 |          148.0 |          918.8 |         13.527 |            0.0 ||
