Best,Mean,Worst,Diversity
42239.129678254336,43027.52373835766,45285.99406191932,185935.9480729999
42239.129678254336,43027.52373835766,45285.99406191932,185935.9480729999
42239.129678254336,43027.52373835766,45285.99406191932,185935.9480729999
42239.129678254336,42878.49981235819,44830.67311274812,143996.88698193996
42224.55751309893,42756.876425208226,44830.67311274812,119319.21760374823
42224.55751309893,42641.97881331389,44138.78488095003,83522.21251033584
42224.55751309893,42530.34757975019,43227.04559261202,51789.638348746725
42217.86452854706,42485.94155049992,43227.04559261202,47345.63810857307
42217.86452854706,42470.180986337415,43227.04559261202,45586.9466814139
42217.86452854706,42462.93499441179,43227.04559261202,45248.5259148626
42217.86452854706,42432.06066318275,43227.04559261202,42758.30373026351
42204.38663876554,42338.53241465856,42465.351268908984,18874.595156740404
42204.38663876554,42326.69671312302,42465.351268908984,17960.549823541893
42204.38663876554,42315.92342256256,42465.351268908984,17883.440635099054
42198.02649755828,42300.955574474574,42465.351268908984,16988.48485943074
42198.02649755828,42285.39133794187,42465.351268908984,14867.656743154876
42198.02649755828,42275.68166035171,42435.83348775586,12084.453042831978
42198.02649755828,42270.99629102805,42423.206741920134,11794.666516418081
42198.02649755828,42243.00195298475,42307.44019400417,6756.718160244098
42198.02649755828,42238.442114285666,42307.44019400417,6564.128717122367
42198.02649755828,42222.43660951479,42254.772286567066,4064.441780696856
42198.02649755828,42221.146391360315,42254.772286567066,3738.533238352553
42198.02649755828,42213.562443967196,42252.478333597406,2962.315183360137
42197.61711333785,42208.626130602825,42232.44638431941,2100.393603974684
42197.61711333785,42204.43488915391,42217.53240989028,1416.313494521317
42197.61711333785,42201.72737970339,42208.75919875091,780.3736705188785
42197.61711333785,42200.87676887725,42208.090526169646,673.3036945299755
42197.40212802167,42199.505118994195,42203.03350125754,351.89337273193814
42197.40212802167,42198.501222363244,42200.82083039747,186.68580346486124
42197.40212802167,42198.16521394037,42200.82083039747,150.92553067496192
42197.40212802167,42197.97920147477,42199.576852332335,109.11213754343044
42197.40212802167,42197.77136529548,42199.00275510718,74.26711021092342
42197.40212802167,42197.633358359526,42198.08453570801,42.55798703842447
42197.40212802167,42197.57373495848,42197.8198200074,29.15460718311806
42197.40212802167,42197.4935042956,42197.8198200074,22.104620250895096
42197.40212802167,42197.45335436044,42197.716588504925,14.696119654123322
42197.40212802167,42197.41310525067,42197.45580447322,3.204702328592248
42197.40212802167,42197.40398290325,42197.41605689928,0.6216357753946795
42197.40212802167,42197.40234557031,42197.404650961624,0.0790124129052856
42197.40212802167,42197.402128021684,42197.40212802167,0.0
