Best,Mean,Worst,Diversity
17803088.70870046,18606258.07813091,20567158.32377004,181017648.5319682
17803088.70870046,18606258.07813091,20567158.32377004,181017648.5319682
17803088.70870046,18523776.92805689,20567158.32377004,176289387.9397346
17803088.70870046,18385547.32055354,19452043.7380212,147073654.80590168
17803088.70870046,18154803.24473559,19450967.730253268,108671741.88833755
17803088.70870046,17858147.07242667,18900554.66235591,20892971.101355642
17803088.70870046,17803242.082111,17803668.66288129,41463.97589030117
17803088.70870046,17803144.20303181,17803304.228728667,16404.315093729645
17803088.70870046,17803130.556071226,17803304.228728667,13466.556737191975
17803088.70870046,17803121.036704693,17803304.228728667,10991.521438580006
17803088.70870046,17803088.70870046,17803088.70870046,0.0
