||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            3.2 |           84.0 |          148.6 |          1.741 |          100.0 ||
||           iris |     ml_0_cl_50 |           84.0 |            3.6 |           92.0 |          167.0 |          1.633 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.2 |           64.0 |          109.0 |            1.0 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            5.2 |          124.0 |          174.4 |          1.845 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            3.0 |           80.0 |          155.8 |          1.342 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            2.0 |           60.0 |          118.4 |          1.194 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            3.8 |           96.0 |          167.6 |          2.191 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.6 |           52.0 |          173.6 |          1.506 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            8.4 |          188.0 |          204.8 |          2.649 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            4.0 |          100.0 |          254.2 |          2.621 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           10.6 |          232.0 |          292.2 |           3.68 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.0 |          100.0 |          184.2 |          2.253 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |           11.2 |          244.0 |          292.4 |           2.95 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            7.2 |          164.0 |          303.8 |          2.215 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           16.2 |          344.0 |          385.8 |          3.684 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.199 |           11.0 |          240.0 |          334.8 |          2.757 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           13.2 |          284.0 |          356.0 |          3.022 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |           12.0 |          260.0 |          360.8 |          3.227 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            3.2 |           84.0 |          173.8 |          2.272 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            3.6 |           92.0 |          208.0 |          2.445 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            4.2 |          104.0 |          201.6 |          2.333 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            4.8 |          116.0 |          224.8 |          2.707 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            5.6 |          132.0 |          243.0 |          2.832 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            2.6 |           72.0 |          159.2 |          1.939 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            2.0 |           60.0 |          124.4 |          1.252 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |           20.0 |           92.2 |           0.75 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            6.8 |          156.0 |          214.0 |          2.599 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            4.8 |          116.0 |          194.0 |          2.272 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.4 |           48.0 |          128.2 |          1.149 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            2.0 |           60.0 |          122.0 |          1.334 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           16.6 |          352.0 |          505.0 |         11.537 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.952 |           15.8 |          336.0 |          439.0 |         11.655 |          100.0 ||
||      computers |  ml_125_cl_125 |     324412.124 |           18.6 |          392.0 |          465.6 |         12.683 |          100.0 ||
||      computers |    ml_150_cl_0 |     317177.376 |           17.6 |          372.0 |          543.4 |         11.841 |          100.0 ||
||      computers |    ml_250_cl_0 |     323040.252 |           16.0 |          340.0 |          477.2 |         11.131 |          100.0 ||
||      computers |    ml_75_cl_75 |     317314.741 |           11.4 |          248.0 |          439.2 |          9.025 |          100.0 ||
||movement-libras |    ml_0_cl_100 |        310.993 |           42.0 |          860.0 |         1071.8 |        109.075 |          100.0 ||
||movement-libras |    ml_0_cl_150 |        313.884 |           58.8 |         1196.0 |         1272.4 |        162.617 |          100.0 ||
||movement-libras |    ml_100_cl_0 |        417.252 |           64.2 |         1304.0 |         1336.2 |        132.015 |          100.0 ||
||movement-libras |    ml_150_cl_0 |        480.739 |           57.0 |         1160.0 |         1152.4 |        116.998 |          100.0 ||
||movement-libras |    ml_50_cl_50 |        372.077 |           52.2 |         1064.0 |         1207.8 |        130.549 |          100.0 ||
||movement-libras |    ml_75_cl_75 |        397.293 |           53.4 |         1088.0 |         1093.6 |        131.481 |          100.0 ||
||           drug |    ml_0_cl_150 |8.489509551748155e+27 |            0.0 |           20.0 |           85.8 |          0.936 |          100.0 ||
||           drug |    ml_0_cl_250 |8.562517504071864e+27 |            0.0 |           20.0 |           79.2 |          1.011 |          100.0 ||
||           drug |  ml_125_cl_125 |8.501823982975736e+27 |            0.0 |           20.0 |           84.8 |          1.081 |          100.0 ||
||           drug |    ml_150_cl_0 |2.394328674873782e+27 |            0.0 |           20.0 |          119.6 |          1.263 |          100.0 ||
||           drug |    ml_250_cl_0 |2.7402985379841865e+27 |            0.0 |           20.0 |          109.0 |          1.316 |          100.0 ||
||           drug |    ml_75_cl_75 |8.389181967401496e+27 |            0.0 |           20.0 |           89.0 |          0.974 |          100.0 ||
