||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            3.2 |           71.0 |          303.0 |          2.249 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            4.4 |           84.4 |          365.4 |          2.253 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            3.2 |           71.8 |          237.4 |          1.429 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            3.0 |           67.8 |          306.4 |          1.842 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            3.0 |           68.0 |          290.4 |          1.603 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.6 |           45.8 |          190.6 |          1.319 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.6 |           79.0 |          291.2 |          2.418 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.0 |           33.6 |          190.0 |          1.274 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            8.2 |          127.0 |          458.6 |          3.154 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            3.4 |           65.6 |          351.6 |          2.373 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            8.6 |          130.6 |          558.2 |          3.584 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.8 |           81.0 |          306.6 |            2.4 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            7.0 |          109.6 |          527.0 |          2.696 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            7.2 |          115.2 |          639.6 |          2.812 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           14.2 |          198.0 |          921.6 |          4.512 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           10.8 |          159.4 |          778.2 |          3.465 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           12.0 |          175.8 |          912.4 |          4.027 |          100.0 ||
