Best,Mean,Worst,Diversity
11614.477972538993,11968.445718906845,12618.780840965152,71814.73105418442
11614.477972538993,11679.731904935392,11919.401004640351,17329.467886559352
11614.477972538993,11630.618587547699,11784.913525070931,4022.5594735419054
11614.477972538993,11629.792314446633,11784.913525070931,4055.791319030488
11613.578592372774,11619.03491484663,11626.658609358188,925.6897569300436
11613.578592372774,11616.504859495026,11621.535668571094,516.8810368316244
11613.578592372774,11615.05000847719,11620.117399619043,339.59931445666916
11613.578592372774,11614.306470620544,11615.607174434495,130.22500560416483
11613.578592372774,11614.136280975876,11614.658577572704,92.84227717053727
11613.578592372774,11613.983313447572,11614.477972538993,89.03863645559977
11613.578592372774,11613.848406422638,11614.477972538993,75.54793396232708
11613.578592372774,11613.758468406015,11614.477972538993,57.56033063796349
11613.578592372774,11613.713499397703,11614.477972538993,45.868388477127155
11613.578592372774,11613.62356138108,11614.477972538993,17.08822315814541
11613.578592372774,11613.57859237277,11613.578592372774,0.0
