Best,Mean,Worst,Diversity
12646.275881777936,12970.335017991762,13716.578172773632,74868.69557292107
12646.275881777936,12834.362034659178,13630.823033167004,51448.88072151215
12645.227023625708,12698.62409164902,13100.257960663159,15828.426352827459
12645.227023625708,12663.751630374007,12824.121738252901,5396.8247658947075
12645.227023625708,12651.199890295482,12662.526704326567,1108.2161429856787
12645.070220227934,12648.665110389971,12662.526704326567,864.6375700633253
12645.070220227934,12646.164295306184,12650.459362203488,276.58179714238577
12644.876851131938,12645.358828478511,12646.668614394925,106.05109073992207
12644.876851131938,12645.030245154067,12645.227023625708,32.3150259166614
12644.876851131938,12644.905856496338,12645.070220227934,9.861823895789712
12644.876851131938,12644.876851131938,12644.876851131938,0.0
