Best,Mean,Worst,Diversity
43002.948737394065,43675.3019674059,45860.20164373962,182335.7592038529
42937.046411451105,43250.43465889148,45377.69975882333,78940.30185221444
42917.24674972473,43005.17984545212,43209.03382765071,12701.181105224394
42917.24674972473,42981.67028434579,43087.73119385436,10372.27811959359
42917.24674972473,42962.29057982268,43016.952722322254,9340.779392055774
42917.24674972473,42956.210662198544,43015.863277487784,8974.0694768354
42917.24674972473,42927.51675865374,43015.863277487784,3137.6692281885917
42917.24674972473,42918.092505591325,42932.687062154684,318.4376195022851
42917.24674972473,42917.320489969825,42918.721554626674,28.021293136996974
42917.24674972473,42917.24674972473,42917.24674972473,0.0
