Best,Mean,Worst,Diversity
40245.12183225152,41211.1130256743,45802.03806094967,264184.7077380357
40245.12183225152,40439.01105007725,40681.39412923706,30077.85652774921
40238.49031436477,40355.54853810035,40653.45623453532,23527.112960060767
40238.49031436477,40289.50772786772,40344.24834015676,8362.700087058955
40238.49031436477,40260.46971295705,40336.35856666311,6051.75605049618
40236.22728634537,40243.253977139946,40294.033853054585,1931.6313004152107
40236.22728634537,40241.39769223507,40272.31680816546,1512.2267831338104
40236.22728634537,40237.10141617525,40244.52461030324,274.8760537835915
40236.22728634537,40236.80888317055,40244.52461030324,208.28651967649785
40236.22728634537,40236.3533498621,40236.731540412315,37.81905502091831
40236.22728634537,40236.27771175206,40236.731540412315,18.15314641004079
40236.22728634537,40236.22728634536,40236.22728634537,0.0
