||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.6 |           52.0 |          301.0 |          2.484 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            3.8 |           76.0 |          376.8 |           2.41 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.4 |           48.0 |          240.0 |          1.451 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.6 |           52.0 |          316.2 |          1.945 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.2 |           44.0 |          284.6 |          1.597 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.6 |           32.0 |          204.8 |          1.426 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.8 |           36.0 |          238.0 |          2.015 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |            8.0 |          172.2 |          1.137 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.6 |           72.0 |          345.2 |          2.377 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.4 |           28.0 |          295.6 |          1.988 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.2 |           84.0 |          469.4 |           3.03 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            2.0 |           40.0 |          248.8 |          1.938 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            4.0 |           80.0 |          451.2 |          2.314 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.8 |           76.0 |          533.8 |          2.338 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            7.8 |          156.0 |          786.0 |          3.883 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            5.2 |          104.0 |          614.6 |           2.77 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            6.0 |          120.0 |          710.6 |          3.141 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            5.2 |          104.0 |          607.0 |          3.031 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           28.0 |          218.4 |          1.927 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.8 |           56.0 |          385.6 |          3.073 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            1.8 |           36.0 |          303.8 |          2.315 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            3.2 |           64.0 |          417.4 |          3.283 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.2 |           64.0 |          424.6 |          3.102 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            0.6 |           12.0 |          168.2 |          1.414 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            8.8 |          176.0 |         1005.8 |           6.56 |          100.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            7.6 |          152.0 |          804.8 |          6.081 |          100.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |           11.0 |          220.0 |         1257.8 |          7.972 |          100.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            7.4 |          148.0 |          971.2 |          6.575 |          100.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            7.2 |          144.0 |          945.0 |          6.109 |          100.0 ||
||          heart |    ml_75_cl_75 |       3356.429 |            6.2 |          124.0 |          732.2 |          5.359 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            1.0 |           20.0 |          151.8 |          0.994 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |           87.2 |          0.584 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.4 |           88.0 |          427.8 |           2.87 |          100.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            3.2 |           64.0 |          341.8 |          2.476 |          100.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.8 |           16.0 |          156.8 |          1.013 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.0 |           20.0 |          158.6 |          1.161 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            7.6 |          152.0 |         1069.6 |         13.503 |          100.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            8.0 |          160.0 |          940.4 |         13.045 |          100.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            8.4 |          168.0 |         1013.0 |         13.775 |          100.0 ||
