Best,Mean,Worst
11761.104292646321,12068.32986010524,12784.056420436795
11759.018109515036,11880.924124620145,12138.723111723928
11758.605530514118,11791.331054776061,12129.033598528793
11758.514731597292,11760.199319176136,11764.896009683474
11758.22171958171,11759.217620140842,11761.419681173415
11758.182794686956,11758.84419247894,11760.88549659568
11758.182794686956,11758.347958245638,11758.717763994107
11758.182794686956,11758.267483652622,11758.717763994107
11758.182794686956,11758.204050908196,11758.27858221507
11758.182794686956,11758.195369042316,11758.27858221507
11758.182794686956,11758.186687176434,11758.22171958171
