Best,Mean,Worst,Diversity
316874.5396886236,317292.25100285374,318425.5922569579,106752.616008933
316874.3452301848,317098.33412079804,318425.5922569579,69770.19253148296
316874.3452301848,316917.1166920041,317139.84015707276,13746.197971720889
316874.3452301848,316892.3558938086,317134.3556669801,6211.845204686862
316873.8950511329,316876.4901318493,316893.7310468571,748.4876431953744
316870.24213503,316874.65994837816,316890.3552590892,517.7436419024598
316870.24213503,316872.0721120924,316874.3452301848,391.5593910223106
316870.24213503,316871.45664781914,316874.3452301848,328.0430728160427
316870.24213503,316870.5968628194,316873.8950511329,114.14672182855429
316870.24213503,316870.3109678238,316870.9304629665,24.779805714497343
316870.24213503,316870.2421350301,316870.24213503,0.0
