||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.8 |           56.0 |          338.6 |           2.54 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.8 |           56.0 |          358.2 |           2.24 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.0 |           40.0 |          250.0 |          1.507 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.4 |           48.0 |          331.0 |          2.034 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.0 |           40.0 |          297.6 |          1.679 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.2 |           24.0 |          216.4 |          1.497 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.6 |           32.0 |          264.8 |          2.144 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.6 |           12.0 |          220.0 |          1.455 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.0 |           80.0 |          419.2 |          2.865 |           80.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.8 |           36.0 |          355.2 |          2.395 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.6 |           92.0 |          535.6 |          3.498 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           36.0 |          277.2 |          2.216 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.8 |           76.0 |          484.2 |          2.514 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.4 |           68.0 |          568.6 |          2.476 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            5.2 |          104.0 |          681.0 |          3.411 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            4.2 |           84.0 |          625.4 |          2.785 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            4.8 |           96.0 |          686.0 |          3.051 |           80.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.2 |           84.0 |          607.8 |          3.024 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           28.0 |          253.6 |          2.224 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            1.8 |           36.0 |          366.8 |          2.872 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.2 |           44.0 |          359.2 |           2.75 |          100.0 ||
