dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,1.867,37.333,270.7,1.7,100.0
wine,3421827.432,1.933,38.667,317.3,2.2,83.333
connectionist,314.774,3.6,72.0,566.333,2.7,50.0
seeds,624.257,2.0,40.0,341.167,2.7,86.667
heart,3347.196,6.333,126.667,895.467,6.2,63.333
vertebral,559533.96,1.3,26.0,250.133,1.7,86.667
computers,320716.595,4.8,96.0,842.767,10.6,23.333
gene,17808477.337,4.567,91.333,596.967,205.6,100.0
movement-libras,381.801,10.133,202.667,1154.7,57.6,26.667
toxicity,4925753246225918.0,0.933,18.667,180.5,0.9,90.0
ECG5000,12734.997,6.667,133.333,1080.433,29.5,6.667
ecoli,15.623,6.767,135.333,1016.2,26.9,3.333
glass,90.746,6.9,138.0,836.6,11.1,10.0
accent,29545.505,8.333,166.667,1209.467,25.7,66.667
