dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,2.267,45.333,290.4,1.9,83.333
wine,3421827.432,2.8,56.0,367.733,2.6,76.667
connectionist,314.774,5.1,102.0,673.033,3.2,36.667
seeds,624.257,2.5,50.0,370.633,2.9,83.333
heart,3347.196,6.933,138.667,945.633,6.5,3.333
vertebral,559533.96,1.767,35.333,271.967,1.9,86.667
computers,320716.486,7.067,141.333,997.467,12.7,13.333
gene,17808477.337,5.5,110.0,681.8,234.1,33.333
movement-libras,381.804,14.733,294.667,1576.267,79.4,0.0
toxicity,4925753246225918.0,1.633,32.667,210.9,1.1,83.333
ECG5000,12734.671,9.467,189.333,1374.433,37.6,0.0
ecoli,15.628,9.567,191.333,1274.533,34.0,0.0
glass,90.762,9.367,187.333,1022.8,13.7,0.0
accent,29545.485,9.633,192.667,1421.633,29.6,0.0
