dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,5.9,158.233,1118.833,6.8,96.667
wine,3421827.432,5.933,148.933,1222.7,8.2,83.333
connectionist,314.774,10.4,261.067,2174.833,9.9,46.667
seeds,624.257,5.4,139.4,1247.767,9.6,90.0
heart,3347.196,12.567,315.233,2763.767,19.2,13.333
vertebral,559533.96,3.767,97.767,897.1,5.9,90.0
computers,320716.535,12.9,331.567,3153.7,39.8,16.667
gene,17808477.337,11.333,280.0,2044.367,698.0,43.333
movement-libras,381.672,22.567,672.567,4467.4,217.1,6.667
toxicity,4875920508130725.0,4.2,107.867,780.067,4.1,96.667
ECG5000,12734.718,14.8,402.8,3862.333,102.4,0.0
ecoli,15.623,16.9,482.233,4003.867,103.0,0.0
glass,90.714,15.433,425.767,2881.067,39.4,0.0
accent,29545.52,15.367,417.367,3836.167,79.1,0.0
